id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled
722,Aspley Guise,Aspley Guise,7013800,52.020725,-0.631519,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
723,Aston,Aston,7010040,52.505104,-1.871788,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
724,Atherstone,Atherstone,7010740,52.578949,-1.552808,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
725,Atherton,Atherton,7025840,53.528817,-2.478683,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
726,Attadale,Attadale,7086080,57.394871,-5.456549,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
727,Attenborough,Attenborough,7016240,52.906322,-1.231262,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
728,Attleborough,Attleborough,7073670,52.514214,1.022719,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
729,Aughton Park,Aughton Park,7022150,53.55447,-2.895095,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
730,Avoncliff,Avoncliff,7032650,51.339596,-2.281342,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
731,Avonmouth,Avonmouth,NA,51.500194,-2.699332,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
732,Aylesbury Vale Parkway,Aylesbury Vale Parkway,NA,51.8327,-0.8623,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
733,Aylesford,Aylesford,7051620,51.301384,0.465964,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
734,Aylesham,Aylesham,7051970,51.227185,1.209682,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
735,Bache,Bache,7021870,53.209312,-2.892386,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
736,Baglan,Baglan,7041860,51.61549,-3.811182,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
737,Bagshot,Bagshot,7056810,51.364964,-0.688501,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
738,Baildon,Baildon,7085520,53.849682,-1.753717,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
739,Baillieston,Baillieston,7097630,55.844761,-4.11454,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
740,Balcombe,Balcombe,7054920,51.05624,-0.137881,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
741,Baldock,Baldock,7060840,51.993156,-0.188106,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
742,Balham,Balham,7053990,51.443169,-0.152403,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
743,Balloch Central,Balloch Central,7098620,56.002983,-4.583539,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
744,Balmossie,Balmossie,7090130,56.475548,-2.83764,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
745,Bamford,Bamford,7028200,53.338985,-1.689078,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
746,Banavie,Banavie,7088390,56.84338,-5.095477,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
747,Bank Hall,Bank Hall,7022380,53.437357,-2.987509,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
748,Banstead,Banstead,7053480,51.329922,-0.214384,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
749,Barassie,Barassie,7094660,55.5611,-4.651181,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
750,Bardon Mill,Bardon Mill,7075630,54.974636,-2.349922,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
751,Bare Lane,Bare Lane,7026900,54.074473,-2.835331,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
752,Bargeddie,Bargeddie,7097640,55.851776,-4.071789,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
753,Bargoed,Bargoed,7040110,51.692268,-3.229717,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
754,Barking,Barking,7074920,51.539982,0.080804,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
755,Barlaston,Barlaston,7012790,52.942856,-2.168118,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
756,Barming,Barming,7051330,51.284904,0.479428,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
757,Barnehurst,Barnehurst,7050890,51.464798,0.160885,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
758,Barnes Bridge,Barnes Bridge,7055800,51.471676,-0.252051,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
759,Barnes Station,Barnes Station,7055510,51.467014,-0.240711,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
760,Barnhill,Barnhill,7099730,55.877895,-4.223463,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
761,Barnt Green,Barnt Green,7010960,52.361328,-1.994098,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
762,Barrhead,Barrhead,7096740,55.804535,-4.396411,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
763,Barrow Haven,Barrow Haven,7062120,53.697128,-0.391427,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
764,Barrow Upon Soar,Barrow Upon Soar,7019030,52.750244,-1.14956,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
765,Barry Docks,Barry Docks,7038060,51.402393,-3.260749,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
